observed_utc,gw,source,team_abbr,opponent_abbr,status,formation,row,slot,player,short,kickoff_text
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,LEE,CRY,predicted,3-5-2,4,11,Noah Okafor,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,CRY,LEE,predicted,3-4-2-1,1,1,Walter Benitez,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,CRY,LEE,predicted,3-4-2-1,2,2,Chris Richards,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,CRY,LEE,predicted,3-4-2-1,2,3,Takehiro Tomiyasu,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,CRY,LEE,predicted,3-4-2-1,2,4,Honest Ahanor,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,CRY,LEE,predicted,3-4-2-1,3,5,Anan Khalaili,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,CRY,LEE,predicted,3-4-2-1,3,6,Quinten Timber,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,CRY,LEE,predicted,3-4-2-1,3,7,Adam Wharton,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,CRY,LEE,predicted,3-4-2-1,3,8,Tyrick Mitchell,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,CRY,LEE,predicted,3-4-2-1,4,9,Daichi Kamada,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,CRY,LEE,predicted,3-4-2-1,4,10,Yéremi Pino,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,CRY,LEE,predicted,3-4-2-1,5,11,J. Strand Larsen,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,MCI,SUN,predicted,4-2-3-1,1,1,Gianluigi Donnarumma,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,MCI,SUN,predicted,4-2-3-1,2,2,Matheus Nunes,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,MCI,SUN,predicted,4-2-3-1,2,3,Marc Guehi,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,MCI,SUN,predicted,4-2-3-1,2,4,Ruben Dias,,Sunday 20 September 17:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,MCI,SUN,predicted,4-2-3-1,2,5,Josko Gvardiol,,Sunday 20 September 17:00
